OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
NSS-10,2005-003A,28526,PAY,+,SES,2005-02-03,TYMSC,,1436.12,6.64,35800,35774,9.5199,,EA,ORB
INMARSAT 4-F1,2005-009A,28628,PAY,P,IM,2005-03-11,AFETR,,1436.1,5.28,35798,35775,5.0119,,EA,ORB
DIRECTV 8,2005-019A,28659,PAY,+,US,2005-05-22,TYMSC,,1436.12,0.02,35800,35774,16.6707,,EA,ORB
GALAXY 28 (G-28),2005-022A,28702,PAY,+,ITSO,2005-06-23,SEAL,,1436.11,3.49,35795,35779,16.7962,,EA,ORB
THAICOM 4,2005-028A,28786,PAY,+,THAI,2005-08-11,FRGUI,,1436.12,0.44,35790,35784,15.8677,,EA,ORB
ANIK F1R,2005-036A,28868,PAY,+,CA,2005-09-08,TYMSC,,1436.1,4.51,35799,35774,12.5892,,EA,ORB
SYRACUSE 3A,2005-041B,28885,PAY,+,FR,2005-10-13,FRGUI,,1436.09,4.84,35796,35776,23.5772,,EA,ORB
INMARSAT 4-F2,2005-044A,28899,PAY,+,IM,2005-11-08,SEAL,,1436.11,5.2,35797,35776,4.4668,,EA,ORB
METEOSAT-9 (MSG-2),2005-049B,28912,PAY,+,EUME,2005-12-21,FRGUI,,1436.13,9.53,35794,35781,2.0767,,EA,ORB
EUTELSAT 174A,2005-052A,28924,PAY,+,EUTE,2005-12-29,TYMSC,,1436.12,4.41,35812,35762,5.4972,,EA,ORB
ECHOSTAR 10,2006-003A,28935,PAY,+,US,2006-02-15,SEAL,,1435.98,0.06,35793,35776,22.7066,,EA,ORB
SPAINSAT,2006-007A,28945,PAY,+,SPN,2006-03-11,FRGUI,,1436.1,0.76,35807,35766,26.7038,,EA,ORB
JCSAT-5A,2006-010A,29045,PAY,+,JPN,2006-04-12,SEAL,,1436.09,1.3,35794,35779,19.9526,,EA,ORB
ASTRA 1KR,2006-012A,29055,PAY,+,SES,2006-04-20,AFETR,,1436.13,0.67,35802,35773,14.4313,,EA,ORB
GALAXY 16 (G-16),2006-023A,29236,PAY,+,US,2006-06-18,SEAL,,1436.11,0.01,35799,35775,251.785,,EA,ORB
EUTELSAT 33F,2006-032A,29270,PAY,+,EUTE,2006-08-04,TYMSC,,1436.13,1.86,35802,35773,31.6228,,EA,ORB
JCSAT-3A,2006-033A,29272,PAY,+,JPN,2006-08-11,FRGUI,,1436.09,0.04,35795,35778,31.6228,,EA,ORB
KOREASAT 5 (MUGUNGWHA 5),2006-034A,29349,PAY,+,SKOR,2006-08-22,SEAL,,1436.13,1.98,35798,35777,25.1189,,EA,ORB
DIRECTV 9S,2006-043A,29494,PAY,+,US,2006-10-13,FRGUI,,1436.1,2.61,35803,35771,271.1266,,EA,ORB
OPTUS D1,2006-043B,29495,PAY,+,AUS,2006-10-13,FRGUI,,1436.09,3.23,35802,35771,3.9811,,EA,ORB
BADR-4,2006-051A,29526,PAY,+,AB,2006-11-08,TYMSC,,1436.1,2.2,35808,35766,0.003,,EA,ORB
SKYNET 5A,2007-007B,30794,PAY,+,UK,2007-03-11,FRGUI,,1436.09,5.49,35801,35772,41.806,,EA,ORB
ANIK F3,2007-009A,31102,PAY,+,CA,2007-04-09,TYMSC,,1436.09,1.39,35798,35775,28.2172,,EA,ORB
ASTRA 1L,2007-016A,31306,PAY,+,SES,2007-05-04,FRGUI,,1436.05,1.52,35807,35764,18.3351,,EA,ORB
GALAXY 17 (G-17),2007-016B,31307,PAY,+,US,2007-05-04,FRGUI,,1436.1,3.16,35799,35774,12.6832,,EA,ORB
WGS F1 (USA 195),2007-046A,32258,PAY,+,US,2007-10-11,AFETR,,1436.11,0.02,35791,35783,15.8866,,EA,ORB
SKYNET 5B,2007-056B,32294,PAY,+,UK,2007-11-14,FRGUI,,1436.1,5.44,35802,35771,15.8866,,EA,ORB
ASTRA 4A,2007-057A,32299,PAY,+,SES,2007-11-17,TYMSC,,1436.12,0.06,35797,35777,20.0,,EA,ORB
HORIZONS-2,2007-063B,32388,PAY,+,ITSO,2007-12-21,FRGUI,,1436.11,2.8,35794,35779,17.3208,,EA,ORB
THURAYA-3,2008-001A,32404,PAY,P,UAE,2008-01-15,SEAL,,1436.11,6.12,35797,35777,7.9621,,EA,ORB
THOR 5,2008-006A,32487,PAY,+,NOR,2008-02-11,TYMSC,,1436.11,0.05,35797,35777,31.6228,,EA,ORB
AMC-14,2008-011A,32708,PAY,P,US,2008-03-14,TYMSC,,1433.63,24.1,35889,35587,13.1101,,EA,ORB
DIRECTV 11,2008-013A,32729,PAY,+,US,2008-03-19,SEAL,,1436.12,,35787,35787,6.3246,,EA,ORB
ICO G1,2008-016A,32763,PAY,+,US,2008-04-14,AFETR,,1436.08,5.54,35796,35777,14.1589,,EA,ORB
VINASAT-1,2008-018A,32767,PAY,+,VTNM,2008-04-18,FRGUI,,1436.13,0.04,35796,35778,12.5893,,EA,ORB
STAR ONE C2,2008-018B,32768,PAY,+,BRAZ,2008-04-18,FRGUI,,1436.11,1.43,35797,35777,10.7588,,EA,ORB
AMOS-3,2008-022A,32794,PAY,+,ISRA,2008-04-28,TYMSC,,1436.11,0.65,35796,35777,42.973,,EA,ORB
GALAXY 18 (G-18),2008-024A,32951,PAY,+,US,2008-05-21,SEAL,,1436.11,0.01,35799,35774,20.9813,,EA,ORB
ZHONGXING-9,2008-028A,33051,PAY,+,PRC,2008-06-09,XICLF,,1436.09,0.96,35808,35765,19.9526,,EA,ORB
SKYNET 5C,2008-030A,33055,PAY,+,UK,2008-06-12,FRGUI,,1436.11,3.98,35807,35766,29.0999,,EA,ORB
TURKSAT 3A,2008-030B,33056,PAY,+,TURK,2008-06-12,FRGUI,,1436.06,0.02,35805,35767,24.7919,,EA,ORB
ECHOSTAR 11,2008-035A,33207,PAY,+,US,2008-07-16,SEAL,,1436.11,1.2,35797,35776,32.4063,,EA,ORB
SUPERBIRD-C2,2008-038A,33274,PAY,+,JPN,2008-08-14,FRGUI,,1436.09,2.56,35811,35762,12.6191,,EA,ORB
INMARSAT 4-F3,2008-039A,33278,PAY,+,IM,2008-08-18,TYMSC,,1436.08,4.37,35798,35774,12.6191,,EA,ORB
NIMIQ 4,2008-044A,33373,PAY,+,CA,2008-09-19,TYMSC,,1436.12,0.02,35795,35779,10.0118,,EA,ORB
GALAXY 19 (G-19),2008-045A,33376,PAY,+,US,2008-09-24,SEAL,,1436.11,0.05,35798,35776,15.8677,,EA,ORB
ASTRA 1M,2008-057A,33436,PAY,+,SES,2008-11-05,TYMSC,,1436.08,0.49,35803,35770,10.0237,,EA,ORB
EUTELSAT HOTBIRD 13C,2008-065A,33459,PAY,+,EUTE,2008-12-20,FRGUI,,1436.12,3.14,35802,35772,6.3245,,EA,ORB
