OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
LUCH-5B,2012-061A,38977,PAY,+,CIS,2012-11-02,TYMSC,,1436.12,10.65,35812,35762,251.1897,,EA,ORB
YAMAL 300K,2012-061B,38978,PAY,+,CIS,2012-11-02,TYMSC,,1436.1,0.01,35789,35785,17.7827,,EA,ORB
STAR ONE C3,2012-062A,38991,PAY,+,BRAZ,2012-11-10,FRGUI,,1436.12,0.02,35796,35778,113.2145,,EA,ORB
EUTELSAT 21B,2012-062B,38992,PAY,+,EUTE,2012-11-10,FRGUI,,1436.09,0.07,35799,35774,5.1523,,EA,ORB
ECHOSTAR 16,2012-065A,39008,PAY,+,US,2012-11-20,TYMSC,,1436.1,0.02,35796,35778,3.7932,,EA,ORB
ZHONGXING-12,2012-067A,39017,PAY,+,PRC,2012-11-27,XICLF,,1436.12,0.01,35798,35776,63.0957,,EA,ORB
EUTELSAT 70B,2012-069A,39020,PAY,+,EUTE,2012-12-03,SEAL,,1436.1,0.06,35802,35771,22.5893,,EA,ORB
YAMAL 402,2012-070A,39022,PAY,+,CIS,2012-12-08,TYMSC,,1436.08,1.46,35801,35771,39.8107,,EA,ORB
SKYNET 5D,2012-075A,39034,PAY,+,UK,2012-12-19,FRGUI,,1436.06,0.07,35802,35770,5.6742,,EA,ORB
MEXSAT 3,2012-075B,39035,PAY,+,MEX,2012-12-19,FRGUI,,1436.03,,35793,35777,79.4454,,EA,ORB
TDRS 11,2013-004A,39070,PAY,+,US,2013-01-31,AFETR,,1436.2,3.64,35807,35771,25.1189,,EA,ORB
AMAZONAS 3,2013-006A,39078,PAY,+,SPN,2013-02-07,FRGUI,,1436.12,0.05,35809,35765,318.7396,,EA,ORB
AZERSPACE 1,2013-006B,39079,PAY,+,AZER,2013-02-07,FRGUI,,1436.07,0.03,35793,35779,50.1187,,EA,ORB
SBIRS GEO-2 (USA 241),2013-011A,39120,PAY,+,US,2013-03-19,AFETR,,1444.69,4.66,35961,35948,13.5893,,EA,ORB
EUTELSAT 117 WEST A,2013-012A,39122,PAY,+,EUTE,2013-03-26,TYMSC,,1436.11,0.06,35799,35775,423.226,,EA,ORB
ANIK G1,2013-014A,39127,PAY,+,CA,2013-04-15,TYMSC,,1436.1,0.05,35798,35775,212.1155,,EA,ORB
ZHONGXING-11,2013-020A,39157,PAY,+,PRC,2013-05-01,XICLF,,1436.09,0.02,35792,35780,25.1189,,EA,ORB
EUTELSAT 7B,2013-022A,39163,PAY,+,EUTE,2013-05-14,TYMSC,,1433.52,0.08,35746,35727,64.9296,,EA,ORB
WGS F5 (USA 243),2013-024A,39168,PAY,+,US,2013-05-25,AFETR,,1436.14,0.02,35790,35785,17.9433,,EA,ORB
SES-6,2013-026A,39172,PAY,+,SES,2013-06-03,TYMSC,,1436.1,0.04,35795,35778,79.6214,,EA,ORB
IRNSS-1A,2013-034A,39199,PAY,P,IND,2013-07-01,SRILR,,1436.1,35.89,35870,35703,3.4785,,EA,ORB
ALPHASAT,2013-038A,39215,PAY,+,IM,2013-07-25,FRGUI,,1436.12,3.0,35802,35772,16.3096,,EA,ORB
INSAT-3D,2013-038B,39216,PAY,+,IND,2013-07-25,FRGUI,,1436.11,2.12,35793,35781,22.1585,,EA,ORB
WGS F6 (USA 244),2013-041A,39222,PAY,+,US,2013-08-08,AFETR,,1436.11,0.02,35789,35785,35.8016,,EA,ORB
ES'HAIL 1,2013-044A,39233,PAY,+,AB,2013-08-29,FRGUI,,1436.09,0.05,35796,35777,12.5119,,EA,ORB
GSAT-7,2013-044B,39234,PAY,+,IND,2013-08-29,FRGUI,,1436.11,0.28,35808,35766,14.285,,EA,ORB
AMOS-4,2013-045A,39237,PAY,+,ISRA,2013-08-31,TYMSC,,1436.09,0.03,35793,35780,7.9433,,EA,ORB
ASTRA 2E,2013-056A,39285,PAY,+,SES,2013-09-29,TYMSC,,1436.08,0.09,35796,35777,7.7968,,EA,ORB
FM-6,2013-058A,39360,PAY,+,US,2013-10-25,TYMSC,,1436.1,0.01,35793,35780,11.3214,,EA,ORB
RADUGA-1M 3,2013-062A,39375,PAY,+,CIS,2013-11-11,TYMSC,,1436.09,6.15,35795,35778,63.0957,,EA,ORB
SES-8,2013-071A,39460,PAY,+,SES,2013-12-03,AFETR,,1436.1,0.05,35796,35777,53.3274,,EA,ORB
INMARSAT 5-F1,2013-073A,39476,PAY,+,IM,2013-12-08,TYMSC,,1436.11,,35788,35785,7.1723,,EA,ORB
TKSAT-1 (TUPAC KATARI),2013-075A,39481,PAY,+,BOL,2013-12-20,XICLF,,1436.12,0.05,35796,35778,40.9678,,EA,ORB
EXPRESS-AM5,2013-077A,39487,PAY,+,CIS,2013-12-26,TYMSC,,1436.1,0.04,35793,35780,50.1187,,EA,ORB
GSAT-14,2014-001A,39498,PAY,+,IND,2014-01-05,SRILR,,1436.09,0.04,35807,35765,4.829,,EA,ORB
THAICOM 6,2014-002A,39500,PAY,+,THAI,2014-01-06,AFETR,,1436.14,0.03,35805,35770,12.5893,,EA,ORB
TDRS 12,2014-004A,39504,PAY,+,US,2014-01-24,AFETR,,1436.08,4.06,35813,35760,7.9433,,EA,ORB
ABS-2,2014-006A,39508,PAY,P,ABS,2014-02-06,FRGUI,,1436.11,0.05,35800,35773,0.3533,,EA,ORB
ATHENA-FIDUS,2014-006B,39509,PAY,+,FRIT,2014-02-06,FRGUI,,1436.07,0.01,35793,35779,3.9811,,EA,ORB
TURKSAT 4A,2014-007A,39522,PAY,+,TURK,2014-02-14,TYMSC,,1436.1,0.08,35802,35772,7.7719,,EA,ORB
EXPRESS-AT1,2014-010A,39612,PAY,P,CIS,2014-03-15,TYMSC,,1435.48,0.45,35796,35754,3.619,,EA,ORB
EXPRESS-AT2,2014-010B,39613,PAY,+,CIS,2014-03-15,TYMSC,,1436.11,0.02,35789,35785,47.4717,,EA,ORB
AMAZONAS 4A,2014-011A,39616,PAY,P,SPN,2014-03-22,FRGUI,,1436.11,0.06,35813,35760,163.5012,,EA,ORB
ASTRA 5B,2014-011B,39617,PAY,+,SES,2014-03-22,FRGUI,,1436.1,0.09,35798,35775,21.6238,,EA,ORB
IRNSS-1B,2014-017A,39635,PAY,+,IND,2014-04-04,SRILR,,1435.99,28.8,35872,35697,6.3096,,EA,ORB
USA 250,2014-020A,39652,PAY,+,US,2014-04-10,AFETR,,1436.1,5.2,35802,35771,,NEA,EA,ORB
LUCH-5V,2014-023A,39727,PAY,+,CIS,2014-04-28,TYMSC,,1436.06,5.32,35797,35775,22.5893,,EA,ORB
KAZSAT-3,2014-023B,39728,PAY,+,KAZ,2014-04-28,TYMSC,,1436.09,0.02,35789,35784,0.003,,EA,ORB
USA 252,2014-027A,39751,PAY,+,US,2014-05-22,AFETR,,1436.1,5.81,35796,35778,,NEA,EA,ORB
EUTELSAT 3B,2014-030A,39773,PAY,+,EUTE,2014-05-26,SEAL,,1436.1,0.06,35805,35769,79.4381,,EA,ORB
ASIASAT 8 (AMOS-7),2014-046A,40107,PAY,+,AC,2014-08-05,AFETR,,1436.08,0.04,35793,35779,44.8232,,EA,ORB
ASIASAT 6,2014-052A,40141,PAY,+,AC,2014-09-07,AFETR,,1436.12,0.06,35791,35784,56.4283,,EA,ORB
OPTUS 10,2014-054A,40146,PAY,+,AUS,2014-09-11,FRGUI,,1436.11,0.12,35795,35778,51.5754,,EA,ORB
MEASAT-3B,2014-054B,40147,PAY,+,MALA,2014-09-11,FRGUI,,1436.09,0.04,35792,35781,65.6076,,EA,ORB
USA 257 (CLIO),2014-055A,40208,PAY,+,US,2014-09-17,AFETR,,1435.99,0.13,35858,35710,,NEA,EA,ORB
HIMAWARI-8,2014-060A,40267,PAY,+,JPN,2014-10-07,TANSC,,1436.15,0.04,35795,35780,35.8016,,EA,ORB
IRNSS-1C,2014-061A,40269,PAY,P,IND,2014-10-15,SRILR,,1436.08,6.71,35873,35700,0.003,,EA,ORB
INTELSAT 30 (IS-30),2014-062A,40271,PAY,+,ITSO,2014-10-16,FRGUI,,1436.11,0.02,35793,35781,316.3552,,EA,ORB
ARSAT 1,2014-062B,40272,PAY,+,ARGN,2014-10-16,FRGUI,,1436.12,0.02,35794,35780,85.7424,,EA,ORB
EUTELSAT 53A,2014-064A,40277,PAY,+,EUTE,2014-10-21,TYMSC,,1436.12,0.02,35795,35779,22.5893,,EA,ORB
GSAT-16,2014-078A,40332,PAY,+,IND,2014-12-06,FRGUI,,1436.09,0.05,35811,35762,63.2456,,EA,ORB
DIRECTV 14,2014-078B,40333,PAY,+,US,2014-12-06,FRGUI,,1436.12,0.02,35789,35785,34.1347,,EA,ORB
YAMAL 401,2014-082A,40345,PAY,+,CIS,2014-12-15,TYMSC,,1436.08,0.02,35789,35784,59.7633,,EA,ORB
ASTRA 2G,2014-089A,40364,PAY,+,SES,2014-12-27,TYMSC,,1436.09,0.05,35797,35776,0.003,,EA,ORB
FENGYUN 2G,2014-090A,40367,PAY,+,PRC,2014-12-31,XICLF,,1436.0,5.83,35802,35768,23.1149,,EA,ORB
INMARSAT 5-F2,2015-005A,40384,PAY,+,IM,2015-02-01,TYMSC,,1436.13,0.02,35792,35783,16.5703,,EA,ORB
ABS-3A,2015-010A,40424,PAY,+,ABS,2015-03-02,AFETR,,1436.09,0.01,35795,35778,6.019,,EA,ORB
EUTELSAT 115 WEST B,2015-010B,40425,PAY,+,EUTE,2015-03-02,AFETR,,1436.11,,35789,35785,5.4794,,EA,ORB
EXPRESS-AM7,2015-012A,40505,PAY,+,CIS,2015-03-18,TYMSC,,1436.04,0.02,35799,35772,12.9055,,EA,ORB
BEIDOU-3S IGSO-1S,2015-019A,40549,PAY,S,PRC,2015-03-30,XICLF,,1435.82,49.05,35946,35616,11.7883,,EA,ORB
THOR 7,2015-022A,40613,PAY,+,NOR,2015-04-26,FRGUI,,1436.11,0.02,35797,35776,70.0714,,EA,ORB
TURKMENALEM52E/MONACOSAT,2015-023A,40617,PAY,+,TMMC,2015-04-27,AFETR,,1436.06,0.02,35798,35773,8.9433,,EA,ORB
DIRECTV 15,2015-026A,40663,PAY,+,US,2015-05-27,FRGUI,,1436.1,0.02,35788,35785,42.7129,,EA,ORB
SKY MEXICO-1,2015-026B,40664,PAY,+,MEX,2015-05-27,FRGUI,,1436.09,0.02,35798,35775,75.685,,EA,ORB
METEOSAT-11 (MSG-4),2015-034A,40732,PAY,+,EUME,2015-07-15,FRGUI,,1436.13,3.39,35790,35784,4.001,,EA,ORB
STAR ONE C4,2015-034B,40733,PAY,+,BRAZ,2015-07-15,FRGUI,,1436.12,0.04,35792,35783,23.3101,,EA,ORB
WGS F7 (USA 263),2015-036A,40746,PAY,+,US,2015-07-24,AFETR,,1436.11,0.02,35787,35787,7.2473,,EA,ORB
INTELSAT 34 (IS-34),2015-039A,40874,PAY,+,ITSO,2015-08-20,FRGUI,,1436.15,0.01,35789,35786,16.5703,,EA,ORB
EUTELSAT 8 WEST B,2015-039B,40875,PAY,+,EUTE,2015-08-20,FRGUI,,1436.08,0.07,35801,35771,7.4159,,EA,ORB
GSAT-6,2015-041A,40880,PAY,+,IND,2015-08-27,SRILR,,1436.11,2.12,35800,35774,2.0,,EA,ORB
INMARSAT 5-F3,2015-042A,40882,PAY,+,IM,2015-08-28,TYMSC,,1436.15,0.02,35788,35787,49.8107,,EA,ORB
TJS-1,2015-046A,40892,PAY,+,PRC,2015-09-12,XICLF,,1436.13,0.52,35804,35771,65.167,,EA,ORB
EXPRESS-AM8,2015-048A,40895,PAY,+,CIS,2015-09-14,TYMSC,,1436.1,0.02,35787,35786,44.8226,,EA,ORB
SKY MUSTER 1 (NBN1A),2015-054A,40940,PAY,+,AUS,2015-09-30,FRGUI,,1436.12,0.02,35794,35780,51.5754,,EA,ORB
ARSAT 2,2015-054B,40941,PAY,+,ARGN,2015-09-30,FRGUI,,1436.11,0.02,35795,35779,81.4064,,EA,ORB
MORELOS 3,2015-056A,40946,PAY,+,MEX,2015-10-02,AFETR,,1436.1,3.26,35798,35775,25.0379,,EA,ORB
APSTAR-9,2015-059A,40982,PAY,+,PRC,2015-10-16,XICLF,,1436.14,0.01,35798,35776,88.2146,,EA,ORB
TURKSAT 4B,2015-060A,40984,PAY,+,TURK,2015-10-16,TYMSC,,1436.12,0.01,35796,35778,,,EA,ORB
ZHONGXING-2C,2015-063A,41021,PAY,+,PRC,2015-11-03,XICLF,,1436.14,0.47,35830,35745,75.4609,,EA,ORB
GSAT-15,2015-065A,41028,PAY,+,IND,2015-11-10,FRGUI,,1436.09,0.07,35795,35778,44.212,,EA,ORB
BADR-7 (ARABSAT-6B),2015-065B,41029,PAY,+,AB,2015-11-10,FRGUI,,1436.1,0.03,35814,35759,78.9705,,EA,ORB
LAOSAT 1,2015-067A,41034,PAY,+,LAOS,2015-11-20,XICLF,,1436.11,0.05,35796,35778,56.7416,,EA,ORB
TELSTAR 12V,2015-068A,41036,PAY,+,CA,2015-11-24,TANSC,,1436.1,0.02,35797,35777,29.9526,,EA,ORB
ELEKTRO-L 2,2015-074A,41105,PAY,+,CIS,2015-12-11,TYMSC,,1436.12,6.88,35795,35779,0.003,,EA,ORB
COSMOS 2513,2015-075A,41121,PAY,+,CIS,2015-12-13,TYMSC,,1436.09,0.04,35791,35782,3.362,,EA,ORB
EXPRESS-AMU1,2015-082A,41191,PAY,+,CIS,2015-12-24,TYMSC,,1436.11,0.02,35797,35777,19.255,,EA,ORB
GAOFEN-4,2015-083A,41194,PAY,+,PRC,2015-12-28,XICLF,,1436.12,0.55,35804,35770,22.1298,,EA,ORB
BELINTERSAT-1,2016-001A,41238,PAY,+,BELA,2016-01-15,XICLF,,1436.07,0.01,35791,35782,35.8016,,EA,ORB
IRNSS-1E,2016-003A,41241,PAY,P,IND,2016-01-20,SRILR,,1436.16,33.4,35878,35698,9.9385,,EA,ORB
EUTELSAT 9B,2016-005A,41310,PAY,+,EUTE,2016-01-29,TYMSC,,1436.11,0.03,35797,35777,39.9052,,EA,ORB
SES-9,2016-013A,41380,PAY,+,SES,2016-03-04,AFETR,,1436.11,0.01,35795,35779,20.5325,,EA,ORB
EUTELSAT 65 WEST A,2016-014A,41382,PAY,+,EUTE,2016-03-09,FRGUI,,1436.11,0.07,35797,35777,47.7519,,EA,ORB
IRNSS-1F,2016-015A,41384,PAY,P,IND,2016-03-10,SRILR,,1436.12,5.54,35870,35704,0.003,,EA,ORB
IRNSS-1G,2016-027A,41469,PAY,P,IND,2016-04-28,SRILR,,1436.11,5.38,35804,35770,8.5592,,EA,ORB
JCSAT-2B,2016-028A,41471,PAY,+,JPN,2016-05-06,AFETR,,1436.1,0.02,35790,35783,9.8591,,EA,ORB
THAICOM 8,2016-031A,41552,PAY,+,THAI,2016-05-27,AFETR,,1436.08,0.07,35792,35781,8.0064,,EA,ORB
INTELSAT 31 (IS-31),2016-035A,41581,PAY,+,ITSO,2016-06-09,TYMSC,,1436.13,0.03,35795,35780,7.8945,,EA,ORB
BEIDOU-2 G7,2016-037A,41586,PAY,+,PRC,2016-06-12,XICLF,,1436.13,1.91,35807,35767,19.0112,,EA,ORB
ABS-2A (MONGOLSAT-1),2016-038A,41588,PAY,+,ABS,2016-06-15,AFETR,,1436.14,0.02,35794,35781,11.9244,,EA,ORB
EUTELSAT 117 WEST B,2016-038B,41589,PAY,+,EUTE,2016-06-15,AFETR,,1436.09,0.01,35787,35786,0.0794,,EA,ORB
BRISAT,2016-039A,41591,PAY,+,INDO,2016-06-18,FRGUI,,1436.11,0.02,35796,35778,9.4719,,EA,ORB
ECHOSTAR 18,2016-039B,41592,PAY,+,US,2016-06-18,FRGUI,,1436.13,0.02,35793,35781,37.7081,,EA,ORB
USA 269,2016-047A,41724,PAY,+,US,2016-07-28,AFETR,,1436.1,3.93,35794,35779,,NEA,EA,ORB
TIANTONG-1 1,2016-048A,41725,PAY,+,PRC,2016-08-05,XICLF,,1436.1,4.0,35798,35775,27.8959,,EA,ORB
JCSAT-16,2016-050A,41729,PAY,+,JPN,2016-08-14,AFETR,,1436.1,0.02,35791,35782,18.8988,,EA,ORB
USA 271,2016-052B,41745,PAY,+,US,2016-08-19,AFETR,,1442.4,4.19,35918,35901,,,EA,ORB
INTELSAT 36 (IS-36),2016-053A,41747,PAY,+,ITSO,2016-08-24,FRGUI,,1436.11,0.01,35794,35779,6.493,,EA,ORB
INSAT-3DR,2016-054A,41752,PAY,+,IND,2016-09-08,SRILR,,1436.1,0.09,35836,35738,8.2903,,EA,ORB
GSAT-18,2016-060A,41793,PAY,+,IND,2016-10-05,FRGUI,,1436.11,0.07,35801,35773,0.003,,EA,ORB
SKY MUSTER 2 (NBN1B),2016-060B,41794,PAY,+,AUS,2016-10-05,FRGUI,,1436.1,0.01,35794,35780,0.003,,EA,ORB
HIMAWARI-9,2016-064A,41836,PAY,+,JPN,2016-11-02,TANSC,,1436.16,0.02,35799,35777,38.791,,EA,ORB
SHIJIAN-17 (SJ-17),2016-065A,41838,PAY,P,PRC,2016-11-03,WSC,,1441.99,5.95,35909,35894,19.83,,EA,ORB
GOES 16,2016-071A,41866,PAY,+,US,2016-11-19,AFETR,,1436.09,0.53,35794,35779,13.1623,,EA,ORB
TIANLIAN 1-04,2016-072A,41869,PAY,+,PRC,2016-11-22,XICLF,,1436.14,1.06,35985,35590,21.9479,,EA,ORB
WGS F8 (USA 272),2016-075A,41879,PAY,+,US,2016-12-07,AFETR,,1436.11,0.02,35787,35787,,,EA,ORB
FENGYUN 4A,2016-077A,41882,PAY,+,PRC,2016-12-10,XICLF,,1436.18,2.51,35823,35754,22.5893,,EA,ORB
ECHOSTAR 19,2016-079A,41893,PAY,+,US,2016-12-18,AFETR,,1436.11,0.01,35793,35781,7.191,,EA,ORB
JCSAT-110A (JCSAT-15),2016-082A,41903,PAY,+,JPN,2016-12-21,FRGUI,,1436.13,0.02,35790,35784,71.039,,EA,ORB
STAR ONE D1,2016-082B,41904,PAY,+,BRAZ,2016-12-21,FRGUI,,1436.08,0.01,35797,35776,0.003,,EA,ORB
TJS-2,2017-001A,41911,PAY,+,PRC,2017-01-05,XICLF,,1436.09,1.03,35794,35779,43.7918,,EA,ORB
SBIRS GEO-4 (USA 273),2017-004A,41937,PAY,+,US,2017-01-21,AFETR,,1444.7,2.4,35964,35945,,,EA,ORB
HISPASAT 36W-1,2017-006A,41942,PAY,+,SPN,2017-01-28,FRGUI,,1436.1,0.04,35791,35782,3.1648,,EA,ORB
TELKOM 3S,2017-007A,41944,PAY,+,INDO,2017-02-14,FRGUI,,1436.13,0.01,35797,35777,10.8657,,EA,ORB
INTELSAT 32E (IS-32E),2017-007B,41945,PAY,+,ITSO,2017-02-14,FRGUI,,1436.13,0.02,35789,35786,14.7367,,EA,ORB
ECHOSTAR 23,2017-014A,42070,PAY,+,US,2017-03-16,AFETR,,1436.11,0.02,35795,35779,13.1623,,EA,ORB
WGS F9 (USA 275),2017-016A,42075,PAY,+,US,2017-03-19,AFETR,,1436.12,0.02,35788,35786,,,EA,ORB
SES-10,2017-017A,42432,PAY,+,SES,2017-03-30,AFETR,,1436.11,0.01,35798,35775,6.493,,EA,ORB
CHINASAT 16 (SJ-13),2017-018A,42662,PAY,+,PRC,2017-04-12,XICLF,,1436.11,0.07,35817,35757,12.3708,,EA,ORB
KOREASAT 7,2017-023A,42691,PAY,+,SKOR,2017-05-04,FRGUI,,1436.12,0.03,35791,35783,,,EA,ORB
SGDC,2017-023B,42692,PAY,+,BRAZ,2017-05-04,FRGUI,,1436.12,0.02,35797,35778,,,EA,ORB
GSAT-9,2017-024A,42695,PAY,+,IND,2017-05-05,SRILR,,1436.09,0.01,35798,35775,,,EA,ORB
INMARSAT 5-F4,2017-025A,42698,PAY,+,IM,2017-05-15,AFETR,,1436.1,0.02,35789,35784,,,EA,ORB
SES-15,2017-026A,42709,PAY,+,SES,2017-05-18,FRGUI,,1436.13,0.05,35789,35786,,,EA,ORB
VIASAT-2,2017-029A,42740,PAY,+,US,2017-06-01,FRGUI,,1436.13,0.03,35789,35786,,,EA,ORB
EUTELSAT 172B,2017-029B,42741,PAY,+,EUTE,2017-06-01,FRGUI,,1436.11,0.03,35788,35786,,,EA,ORB
GSAT-19,2017-031A,42747,PAY,+,IND,2017-06-05,SRILR,,1436.08,0.01,35803,35770,,,EA,ORB
ECHOSTAR 21,2017-032A,42749,PAY,+,US,2017-06-08,TYMSC,,1436.09,1.78,35797,35776,,,EA,ORB
BULGARIASAT-1,2017-038A,42801,PAY,+,BUL,2017-06-23,AFETR,,1435.89,0.05,35800,35765,,,EA,ORB
HELLAS-SAT 3,2017-040A,42814,PAY,+,GREC,2017-06-28,FRGUI,,1436.15,0.05,35797,35778,,,EA,ORB
GSAT-17,2017-040B,42815,PAY,+,IND,2017-06-28,FRGUI,,1436.12,0.04,35803,35771,,,EA,ORB
INTELSAT 35E (IS-35E),2017-041A,42818,PAY,+,ITSO,2017-07-05,AFETR,,1436.14,0.02,35797,35778,,,EA,ORB
COSMOS 2520,2017-046A,42907,PAY,+,CIS,2017-08-16,TYMSC,,1436.08,0.03,35787,35785,,,EA,ORB
TDRS 13,2017-047A,42915,PAY,+,US,2017-08-18,AFETR,,1436.11,3.48,35845,35728,,,EA,ORB
QZS-3 (MICHIBIKI-3),2017-048A,42917,PAY,+,JPN,2017-08-19,TANSC,,1436.16,0.05,35797,35779,,,EA,ORB
AMAZONAS 5,2017-053A,42934,PAY,+,SPN,2017-09-11,TYMSC,,1436.14,0.01,35795,35780,,,EA,ORB
ASIASAT 9,2017-057A,42942,PAY,+,AC,2017-09-28,TYMSC,,1436.11,0.01,35796,35777,,,EA,ORB
USA 279,2017-066A,42949,PAY,+,US,2017-10-15,AFETR,,1436.07,3.28,35794,35778,,NEA,EA,ORB
INTELSAT 37E (IS-37E),2017-059A,42950,PAY,+,ITSO,2017-09-29,FRGUI,,1436.11,0.02,35801,35772,,,EA,ORB
BSAT-4A,2017-059B,42951,PAY,+,JPN,2017-09-29,FRGUI,,1436.11,0.05,35794,35779,,,EA,ORB
SES-11 (ECHOSTAR 105),2017-063A,42967,PAY,+,SES,2017-10-11,AFETR,,1436.1,0.02,35797,35776,,,EA,ORB
KOREASAT 5A,2017-067A,42984,PAY,+,SKOR,2017-10-30,AFETR,,1436.14,0.02,35792,35783,,,EA,ORB
ALCOMSAT 1,2017-078A,43039,PAY,+,ALG,2017-12-10,XICLF,,1436.09,0.02,35795,35777,,,EA,ORB
SBIRS GEO-3 (USA 282),2018-009A,43162,PAY,+,US,2018-01-20,AFETR,,1436.09,2.25,35795,35778,,,EA,ORB
AL YAH 3,2018-012A,43174,PAY,+,UAE,2018-01-25,FRGUI,,1436.1,1.75,35801,35772,,,EA,ORB
SES-14,2018-012B,43175,PAY,+,SES,2018-01-25,FRGUI,,1436.12,0.02,35792,35782,,,EA,ORB
GOES 17,2018-022A,43226,PAY,B,US,2018-03-01,AFETR,,1436.13,1.13,35792,35782,,,EA,ORB
HISPASAT 30W-6,2018-023A,43228,PAY,+,SPN,2018-03-06,AFETR,,1436.11,0.04,35802,35772,,,EA,ORB
SUPERBIRD-B3,2018-033A,43271,PAY,+,JPN,2018-04-05,FRGUI,,1436.1,0.01,35793,35781,,,EA,ORB
HYLAS 4,2018-033B,43272,PAY,+,UK,2018-04-05,FRGUI,,1436.12,0.07,35792,35782,,,EA,ORB
IRNSS-1I,2018-035A,43286,PAY,+,IND,2018-04-11,SRILR,,1435.99,28.93,35868,35701,,,EA,ORB
USA 283,2018-036A,43339,PAY,+,US,2018-04-14,AFETR,,1436.12,0.02,35788,35786,,,EA,ORB
COSMOS 2526,2018-037A,43432,PAY,+,CIS,2018-04-18,TYMSC,,1436.1,0.01,35790,35783,,,EA,ORB
APSTAR-6C,2018-041A,43450,PAY,+,PRC,2018-05-03,XICLF,,1436.11,0.04,35795,35779,,,EA,ORB
BANGABANDHUSAT-1,2018-044A,43463,PAY,+,BGD,2018-05-11,AFETR,,1436.13,0.01,35799,35776,,,EA,ORB
SES-12,2018-049A,43488,PAY,+,SES,2018-06-04,AFETR,,1436.1,0.02,35795,35779,,,EA,ORB
FENGYUN 2H,2018-050A,43491,PAY,+,PRC,2018-06-05,XICLF,,1436.08,3.22,35798,35775,,,EA,ORB
TELSTAR 19V,2018-059A,43562,PAY,+,CA,2018-07-22,AFETR,,1436.13,0.01,35799,35775,,,EA,ORB
TELKOM 4 (MERAH PUTIH),2018-064A,43587,PAY,+,INDO,2018-08-07,AFETR,,1436.13,0.01,35795,35780,,,EA,ORB
TELSTAR 18V,2018-069A,43611,PAY,+,CA,2018-09-10,AFETR,,1436.11,0.03,35795,35779,,,EA,ORB
AZERSPACE 2 (IS-38),2018-074A,43632,PAY,+,AZER,2018-09-25,FRGUI,,1436.09,0.02,35793,35780,,,EA,ORB
HORIZONS-3E,2018-074B,43633,PAY,+,ITSO,2018-09-25,FRGUI,,1436.09,0.01,35790,35783,,,EA,ORB
BEIDOU-3 G1,2018-085A,43683,PAY,+,PRC,2018-11-01,XICLF,,1436.09,2.59,35813,35760,,,EA,ORB
GSAT-29,2018-089A,43698,PAY,+,IND,2018-11-14,SRILR,,1436.1,0.08,35794,35780,,,EA,ORB
ES'HAIL 2,2018-090A,43700,PAY,+,AB,2018-11-15,AFETR,,1436.08,0.02,35797,35775,,,EA,ORB
GEO-KOMPSAT-2A,2018-100A,43823,PAY,+,SKOR,2018-12-04,FRGUI,,1436.13,0.02,35795,35780,,,EA,ORB
GSAT-11,2018-100B,43824,PAY,+,IND,2018-12-04,FRGUI,,1436.09,0.11,35815,35758,,,EA,ORB
GSAT-7A,2018-105A,43864,PAY,+,IND,2018-12-19,SRILR,,1436.11,0.02,35795,35779,,,EA,ORB
COSMOS 2533,2018-107A,43867,PAY,+,CIS,2018-12-21,TYMSC,,1436.08,0.01,35787,35786,,,EA,ORB
TJS-3,2018-110A,43874,PAY,+,PRC,2018-12-24,XICLF,,1433.53,2.74,35753,35719,,,EA,ORB
ZHONGXING-2D,2019-001A,43920,PAY,+,PRC,2019-01-10,XICLF,,1436.12,0.06,35793,35781,,,EA,ORB
HELLAS-SAT 4 & SGS-1,2019-007A,44034,PAY,+,GRSA,2019-02-05,FRGUI,,1436.13,0.06,35813,35761,,,EA,ORB
GSAT-31,2019-007B,44035,PAY,+,IND,2019-02-05,FRGUI,,1436.09,0.04,35802,35771,,,EA,ORB
NUSANTARA SATU,2019-009A,44048,PAY,+,INDO,2019-02-22,AFETR,,1436.1,0.02,35807,35767,,,EA,ORB
ZHONGXING-6C,2019-012A,44067,PAY,P,PRC,2019-03-09,XICLF,,1436.07,0.03,35845,35727,,,EA,ORB
WGS 10 (USA 291),2019-014A,44071,PAY,+,US,2019-03-16,AFETR,,1436.11,0.01,35789,35785,,,EA,ORB
TIANLIAN 2-01,2019-017A,44076,PAY,+,PRC,2019-03-31,XICLF,,1436.11,0.73,35800,35774,,,EA,ORB
ARABSAT-6A,2019-021A,44186,PAY,+,AB,2019-04-11,AFETR,,1436.23,0.06,35813,35766,,,EA,ORB
BEIDOU-3 IGSO-1,2019-023A,44204,PAY,+,PRC,2019-04-20,XICLF,,1436.11,58.8,35901,35673,,,EA,ORB
BEIDOU-2 G8,2019-027A,44231,PAY,+,PRC,2019-05-17,XICLF,,1436.05,1.85,35823,35748,,,EA,ORB
YAMAL 601,2019-031A,44307,PAY,+,CIS,2019-05-30,TYMSC,,1436.08,0.01,35796,35777,,,EA,ORB
